name,url,board,website,logo_link
Sourcegraph,https://sourcegraph.com/jobs#job-list,sourcegraph91,https://sourcegraph.com,https://s4-recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/400/102/100/original/pictogram_(dark).png
Gitlab,https://about.gitlab.com/jobs/all-jobs/,gitlab,https://gitlab.com,https://s2-recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/400/254/300/original/Tanuki_white_square.png
Fueled,https://fueled.com/careers/,fueledcareers,https://fueled.com,https://s8-recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/400/138/000/original/Emblem_3.png?1747239000
Metalab,https://www.metalab.com/about,metalab,https://www.metalab.com,https://recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/000/006/348/original/metalab_icon_profile.jpg?1710453155
Customer,https://customer.io/careers#job-openings,customerio,https://customer.io,https://recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/000/001/092/original/Brand_site_logo.png?1776707836
Invisible Tech,https://invisibletech.ai/join-us#open-roles,invisibletech,https://invisibletech.ai,https://s101-recruiting.cdn.greenhouse.io/external_greenhouse_job_boards/logos/400/129/910/original/Invisible_LinkedIn_Metadata_image_400x400.png?1768492445
Cast AI,https://cast.ai/careers/#open-positions,castaigroupinc,https://cast.ai,https://cast.ai/wp-content/uploads/2025/01/logo-cast-ai-black.svg
