name,url,board,website,logo_link
Phantom,https://phantom.com/careers#open---positions,phantom,https://phantom.com/,https://app.ashbyhq.com/api/images/org-theme-wordmark/211f3f1c-f71c-4fbd-9849-35e31ad4b7ec/866cdc41-70d3-4000-ac53-9d2574134150/d3333a09-169e-405e-8361-d855cff3ae18.png
Kit,https://kit.com/careers,kit,https://kit.com/,https://app.ashbyhq.com/api/images/org-theme-wordmark/338fc93c-e767-4804-b8e5-697379e150d3/606d3242-2a8f-40af-bfc5-dfc2974db698/2a2adba2-eaea-4437-aad4-03dc8a105fe7.png
Deel,https://www.deel.com/careers/open-roles/,deel,https://www.deel.com/,https://app.ashbyhq.com/api/images/org-theme-wordmark/8fa135c2-9d32-4983-8bb6-8e573cfb13f0/85d16e95-e5d3-4746-9cc5-410d17ebd9d0/f3de4ace-caf4-4074-adee-49a3e62c1d7d.png
Cyberhaven,https://jobs.ashbyhq.com/Cyberhaven,cyberhaven,https://www.cyberhaven.com/,https://app.ashbyhq.com/api/images/org-theme-wordmark/7b223dbc-d7e4-449e-9853-2a2c468c5acc/c5da958b-25d2-409c-92ae-4deb76d001b2/265475a7-680c-4522-b37e-f2d5e8b61a15.png
Zapier,https://zapier.com/jobs#job-openings,zapier,https://zapier.com/,https://app.ashbyhq.com/api/images/org-theme-wordmark/445b8e3d-921a-4001-9ef9-fee6982cf7af/898ad906-eb78-4e80-9f38-515de19ca3c5/8c30fbc1-4060-4a8d-89e0-ad7ec0eeec3a.png
Duckduckgo,https://duckduckgo.com/hiring,duck-duck-go,https://duckduckgo.com,https://app.ashbyhq.com/api/images/org-theme-wordmark/c7a118c9-86fe-448f-8fcd-581db95f7ffb/988a780a-4880-40ac-87ac-7b1bf89f1b43/e7fb2464-b7c8-41b9-b89b-b6855cdd52f4.png
